Well_ID,TH_2022,NO3_2022,Cl_2022,F_2022,SO4_2022,Ca_2022,Mg_2022,Na_2022
1.9353E+14,465,18.2,120.5,0.53,61.6,80.2,64.4,88.3
1.926E+14,510,63.7,191.4,0.18,187.4,116.2,53.5,96.4
1.924E+14,1900,200.4,1201.8,0.11,824.4,348.7,250.3,380.4
1.9164E+14,425,200.1,102.8,0.31,79.5,76.2,57.1,87.7
1.9313E+14,290,11.1,24.8,0.2,18.4,50.1,40.1,15.7
1.934E+14,460,197,198.5,0.69,124.6,80.2,63.2,202.8
1.921E+14,250,38.8,60.3,0.54,53.1,50.1,30.4,104.6
1.943E+14,1025,200.3,904,0.45,160.1,210.4,121.5,440.4
1.914E+14,190,3.4,49.6,0.24,16.3,60.1,9.7,27.6
1.9062E+14,1230,80,397,0.59,890.1,210.4,171.3,297.1
1.936E+14,280,13.1,53.2,0.6,46.6,60.1,31.6,72.7
1.85735E+14,470,198.4,244.6,1.25,141.1,80.2,65.6,223
1.85745E+14,1000,200.2,524.7,0.45,924.1,200.4,121.5,335.5
1.9212E+14,280,16.7,56.7,0.56,63.5,60.1,31.6,44.3
1.9283E+14,455,80.3,237.5,0.52,160,56.1,76.5,219.5
1.923E+14,240,13.7,78,0.69,45.7,40.1,34,58.8
1.9172E+14,190,9.1,39,0.32,38.2,34.1,25.5,28.2
1.92345E+14,245,9.7,42.5,0.29,30.9,50.1,29.2,36.6
1.933E+14,280,8.6,109.9,0.26,105.6,60.1,31.6,79.4
1.844E+14,860,46.2,315.5,0.49,160.1,136.3,126.4,116.5
1.929E+14,335,67,127.6,0.31,54,64.1,42.5,77.9
1.8384E+14,240,68.4,60.3,0.47,45.6,50.1,27.9,57.6
1.838E+14,345,18.2,216.2,0.59,95.4,40.1,59.5,149.4
1.831E+14,465,65,475,0.23,78.8,80.2,64.4,315.7
1.931E+14,125,4.1,46.1,0.1,9,26.1,14.6,6
1.837E+14,740,60.1,354.5,0.26,299,102.2,117.9,109.9
1.90821E+14,225,4.5,42.5,0.75,20.5,40.1,30.4,67.2
1.92505E+14,760,195.3,301.3,0.39,159.6,146.3,96,89
1.90005E+14,405,20,187.9,0.37,119.8,70.1,55.9,96.1
1.92119E+14,225,7.2,60.3,0.44,74.6,40.1,30.4,85.6
1.93531E+14,460,35.3,195,0.35,109,82.2,62,98.9
1.91617E+14,330,16.1,60.3,0.63,44.7,56.1,46.2,74.8
1.84226E+14,460,23,173.7,0.45,157.8,60.1,75.3,69.6
1.93657E+14,640,58.4,315.5,0.25,200.2,132.3,75.3,102.3
1.93546E+14,235,23.5,42.5,0.13,36.1,48.1,27.9,35.2
